Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
Spring Boot,senior,"In Spring Boot, session-scoped beans in a REST API cluster are a hazard because:",They are always faster,"HTTP session state is per node (unless replicated/sticky), so users bounce and lose or split state; it also pins memory",Session scope cannot store objects,Spring forbids session scope,B
Spring Boot,senior,"In Spring Boot, show-details on health in production without auth:",Only adds a boolean,"Can leak dependency hostnames, versions, disk paths, and downstream failure details useful to attackers",Is required for Kubernetes probes,Disables the liveness probe,B
Spring Boot,senior,"In Spring Boot, submitting @Async work before the caller transaction commits, and the async thread reading that row, causes:",A guaranteed read of committed data,"A race: the worker may not see uncommitted data (or may block on locks), so jobs flake",Repeatable read across threads by default,The async thread to join the same JDBC connection,B
Spring Boot,senior,"In Spring Boot, the N+1 problem under OSIV typically appears as:",One join query and no extras,"One query for a collection of roots, then one query per root (or per association) while Jackson/Thymeleaf touches lazy fields",A single batch always,Only at startup,B
Spring Boot,senior,"In Spring Boot, the correct place to fetch associations needed by a response is:",In the Jackson getter via lazy load,"In the repository/service query (join fetch, entity graph, or explicit query) inside the transactional boundary",In a @PreDestroy hook,In the OSIV filter after commit,B
Spring Boot,senior,"In Spring Boot, the heapdump and threaddump endpoints are a problem when exposed because:",They are read-only and harmless,"Heap dumps contain secrets in memory; thread dumps reveal code paths, locks, and sometimes user data in stack frames",They only work locally,They restart the JVM always,B
Spring Boot,senior,"In Spring Boot, the practical way to debug 'which value won?' is:",Guess from file timestamps,"Inspect the Environment / configprops (with security care): property origin, active profiles, and the bound @ConfigurationProperties object",Recompile until it matches,Print System.getProperties only,B
Spring Boot,senior,"In Spring Boot, the production metric that catches OSIV N+1 is:",HTTP 200 rate only,"SQL count / time per request correlated with collection size, plus connection hold time",Heap usage only,Bean creation time,B
Spring Boot,senior,"In Spring Boot, the safest team rule to prevent this outage class is:",Put @Transactional on every private helper,Transactional methods are entry points on a dedicated component; they are never called with this from the same class,Disable proxies and use ThreadLocal Connection only,Prefer checked exceptions for rollback,B
Spring Boot,senior,"In Spring Boot, this.otherTransactionalMethod() inside the same class typically:",Still starts a new transaction as annotated,"Bypasses the proxy, so @Transactional on the callee is ignored",Always throws IllegalTransactionStateException,Forces a suspend of the outer transaction,B
Spring Boot,senior,"In Spring Boot, thread pool unbounded queue + each task needs a DB connection:",The executor bounds the pool for you,"Accepted tasks wait on the executor, then wait on the connection pool — memory and thread/pool saturation stacked",Tasks skip the DB if the pool is busy,Hikari starts a thread per connection automatically matching the executor,B
Spring Boot,senior,"In Spring Boot, transactionSynchronization afterCommit registered in a self-called method with ignored @Transactional will:",Always run after the repository commit you expected,"Bind to whatever transaction is actually active (maybe none), so it may run immediately, never, or on the wrong unit of work",Create a new transaction to hang the sync on,Throw if no proxy,B
Spring Boot,senior,"In Spring Boot, transactional service ends, OSIV still open: writes in the view layer can:",Never happen because the context is read-only,"Dirty-flush unexpectedly if something mutates a managed entity during rendering (rare but nasty), or at least keep connections busy",Always roll back,Open a second OSIV,B
Spring Boot,senior,"In Spring Boot, two jars on the classpath both contain application.properties:",Spring merges with a documented deterministic library order you should not rely on for overrides; do not ship conflicting keys in libraries,The JVM picks at random each request,Both are illegal and fail startup always,"Only the Boot jar's file is read, libraries are ignored always",A
Spring Boot,senior,"In Spring Boot, using the common ForkJoinPool for @Async blocking JDBC:",Is ideal because FJP is infinite,Starves parallel streams and other FJP users; blocking work needs a dedicated bounded pool,Automatically upgrades to platform threads with no limit,Shares Tomcat's pool,B
Spring Boot,senior,"In Spring Boot, which is the right scope for a JPA EntityManager injected into a singleton service?",A shared singleton EntityManager field used by all threads,"A thread-bound persistence context via @PersistenceContext (proxy), not a singleton EM you created once",prototype EntityManager stored on the service,application scope EM,B
Spring Boot,senior,"In Spring Boot, which state belongs on a singleton bean?",The current user's id,"Thread-safe collaborators (clients, repos) and immutable config; no per-request mutable fields",The ServletRequest stored in a field,A non-thread-safe ArrayList of 'current items',B
Spring Boot,senior,"In Spring Boot, which visibility is ignored by the default proxy-based @Transactional?",public methods called through the proxy,"private/package/protected methods: the annotation is typically not applied (CGLIB may subclass, but Spring's tx advisor does not advise non-public by default)",only static methods,only constructors,B
Spring Boot,senior,"In Spring Boot, why DTO/projection queries defeat OSIV N+1 more cleanly than initializing proxies:",DTOs cannot be serialized,There is no lazy graph to walk; the query selected exactly the response fields,Projections keep the session open longer,Entities cannot be mapped to JSON,B
Spring Boot,senior,"In Spring Boot, why OSIV hides LazyInitializationException and makes N+1 worse in production:",It closes the session earlier,Serialization succeeds slowly with hidden per-entity SQL instead of failing fast in the service layer,It batches all lazy loads by default,It disables Hibernate statistics,B
Spring Boot,senior,"In Spring Boot, why a separate management port helps:",It makes actuator faster,You can bind it to localhost or a private interface and never publish it on the load balancer that serves the API,It disables all security,It shares the servlet thread pool only,B
Spring Boot,senior,"In Spring Boot, why connectionTimeout (checkout wait) must be finite and smaller than the HTTP timeout:",So the load balancer / caller fails fast instead of tying up all servlet threads behind an infinite pool wait,The database requires it for correctness of SQL,Infinite wait uses less memory,Hikari forbids finite timeouts,A
Spring Boot,senior,"In Spring Boot, why request-thread ThreadLocals (security context, MDC, tenant) vanish in @Async:",ThreadLocals are copied by the JVM automatically,A new worker thread does not inherit them unless a TaskDecorator/propagating executor copies them,@Async is not allowed to log,SecurityContext is a singleton,B
